stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
4383,4383, Messines Road (near 22),MessinesRd at 22,-41.28544373,174.7489983,3,,0,,Pacific/Auckland
8840,8840, Marine Drive near York Bay,Marine Dr near York Bay,-41.26397032,174.9099372,5,,0,,Pacific/Auckland
9057,9057, Dowse Drive near Maungaraki Shops,Dowse Dr near Maungaraki Shops,-41.20855081,174.8786254,4,,0,,Pacific/Auckland
9298,9298, Taita College- Eastern Hutt Road (Opposite),Taita College,-41.17437346,174.9672939,5,,0,,Pacific/Auckland
7233,7233, Miramar Shops - Park Road,Miramar Shops,-41.31628183,174.8166059,3,,0,,Pacific/Auckland
2871,2871, Whitireia Polytechnic - Titahi Bay Road,Whitireia Polytech,-41.1254551,174.8369426,5,,0,,Pacific/Auckland
1236,1236, Martin Road at Michael Road (near 46),MartinRd at Michael,-40.88694142,174.9937674,9,,0,,Pacific/Auckland
8350,8350, Park Road at Chilean Embassy,ParkRd at ChileanEmb,-41.18876833,174.9202692,5,,0,,Pacific/Auckland
6557,6557, Hataitai Road at Huia Road (near 120),HataitaiRd at Huia,-41.3019554,174.7969124,2,,0,,Pacific/Auckland
1360,1360, Tahi Street at Marine Parade (near 2),TahiSt at MarinePde,-40.90234438,174.9780843,9,,0,,Pacific/Auckland
8091,8091, London Road (near 30),LondonRd at 30,-41.21548057,174.8734559,4,,0,,Pacific/Auckland
8548,8548, Upper Hutt College - Moonshine Road (near 34),Upper Hutt College,-41.12713584,175.0420015,7,,0,,Pacific/Auckland
6050,6050, Breaker Bay Road at Ranger Point,BreakerBayRd at Ranger,-41.33975864,174.8243096,3,,0,,Pacific/Auckland
3212,3212, Burbank Crescent at Wantwood Street,BurbankCres at 17,-41.20541744,174.8099574,3,,0,,Pacific/Auckland
6566,6566, Palliser Road (near 46),PalliserRd at 46,-41.29388606,174.7973535,2,,0,,Pacific/Auckland
7046,7046, Breaker Bay Road at Eve Bay (near 108),BreakerBayRd at EveBay,-41.33270588,174.8260247,3,,0,,Pacific/Auckland
6711,6711, Victoria Street at Abel Smith Street,VictoriaSt at AbelSmith,-41.29515569,174.7723426,1,,0,,Pacific/Auckland
6160,6160, The Esplanade (near 230),TheEsplanade at 230,-41.34368704,174.7746992,3,,0,,Pacific/Auckland
4317,4317, Glenmore Street at Kelburn Viaduct,GlenmoreSt at Viaduct,-41.28783562,174.7575408,2,,0,,Pacific/Auckland
MELL,MELL, Melling Station,Melling Stn,-41.20348555,174.9054004,4,,0,,Pacific/Auckland
3476,3476, Stewart Drive at Fitzpatrick Street (near 65),StewartDr at 65,-41.22107571,174.8165926,3,,0,,Pacific/Auckland
1322,1322, Wharemauku Road (near 9),WharemaukuRd at 9,-40.90718156,174.9796532,9,,0,,Pacific/Auckland
1372,1372, Alexander Road at Tui Road (near 52),AlexanderRd at Tui,-40.9145171,174.9826031,9,,0,,Pacific/Auckland
8205,8205, Oxford Terrace at Lincoln Avenue,OxfordTce at Lincoln,-41.20113055,174.9404275,5,,0,,Pacific/Auckland
2854,2854, Mapplebeck Street at Downes Road (near 1),MapplebeckSt at Downes,-41.10540151,174.8461485,6,,0,,Pacific/Auckland
9910,9910, Wainuiomata Village - Main Road (near 143),Wainuiomata Village,-41.2732221,174.954381,5,,0,,Pacific/Auckland
9533,9533, Lane Street at Wallaceville Rd (near 5),LaneSt at 5,-41.13337022,175.0611372,7,,0,,Pacific/Auckland
